epoch,loss,mean_squared_error,val_loss,val_mean_squared_error
102,1975.7491943359375,1975.7491943359375,5078.089475978504,5078.089475978504
103,2066.524970703125,2066.524970703125,4924.6811096884985,4924.6811096884985
104,2152.342539876302,2152.342539876302,5160.0114319541235,5160.0114319541235
105,1949.715242513021,1949.715242513021,5042.483541662043,5042.483541662043
106,1991.1953645833332,1991.1953645833332,4928.270193099976,4928.270193099976
107,2021.3082446289063,2021.3082446289063,4902.297328255393,4902.297328255393
108,2004.8176607259115,2004.8176607259115,4986.362578305331,4986.362578305331
109,2140.5518326822917,2140.5518326822917,5268.258919802579,5268.258919802579
110,1973.0788012695311,1973.0788012695311,5004.3798851533365,5004.3798851533365
111,1984.3269368489584,1984.3269368489584,5290.774154316296,5290.774154316296
112,2030.1266662597657,2030.1266662597657,5118.2057059894905,5118.2057059894905
113,2014.861690266927,2014.861690266927,5114.415917916732,5114.415917916732
114,1914.1207421875,1914.1207421875,5145.111839641224,5145.111839641224
115,1975.5749186197916,1975.5749186197916,5028.287163474343,5028.287163474343
116,2034.6244441731772,2034.6244441731772,4773.446188092232,4773.446188092232
117,1980.951062825521,1980.951062825521,5063.712481412021,5063.712481412021
118,2025.7160286458334,2025.7160286458334,4752.0177749286995,4752.0177749286995
119,2048.7673754882812,2048.7673754882812,4677.133277979764,4677.133277979764
120,1986.1605647786457,1986.1605647786457,4896.3129258589315,4896.3129258589315
121,1950.8264444986978,1950.8264444986978,4885.906980514526,4885.906980514526
122,1976.1541015625,1976.1541015625,4597.912305658514,4597.912305658514
123,2016.9398640950521,2016.9398640950521,4352.792920546098,4352.792920546098
124,2025.104930826823,2025.104930826823,4676.885811661708,4676.885811661708
125,1894.2633406575521,1894.2633406575521,5293.7696370211515,5293.7696370211515
126,2071.365565592448,2071.365565592448,5020.926480726762,5020.926480726762
127,1859.4847794596353,1859.4847794596353,4805.056811577894,4805.056811577894
128,1973.3200854492188,1973.3200854492188,5047.614081296054,5047.614081296054
129,2072.140423990885,2072.140423990885,4942.381522091952,4942.381522091952
130,1995.4369384765625,1995.4369384765625,5166.368404215033,5166.368404215033
131,2027.5006998697916,2027.5006998697916,5217.833180861039,5217.833180861039
132,2031.4686726888021,2031.4686726888021,5387.606810829856,5387.606810829856
133,1993.5409488932291,1993.5409488932291,5064.239367138256,5064.239367138256
134,2006.6265201822916,2006.6265201822916,5115.6174251383,5115.6174251383
135,1931.2666040039062,1931.2666040039062,5010.080445029519,5010.080445029519
136,1907.2294653320312,1907.2294653320312,4514.843980789185,4514.843980789185
137,1829.6341349283855,1829.6341349283855,5165.605378931219,5165.605378931219
138,1976.5315751139324,1976.5315751139324,4795.661556276408,4795.661556276408
139,1907.7010078938802,1907.7010078938802,5007.409990484064,5007.409990484064
140,2019.442557779948,2019.442557779948,5061.4703556407585,5061.4703556407585
141,1970.3571166992188,1970.3571166992188,4870.1369937549935,4870.1369937549935
142,2050.9613704427084,2050.9613704427084,4826.547367616134,4826.547367616134
143,2046.332618815104,2046.332618815104,4741.195025964217,4741.195025964217
144,2116.3819954427086,2116.3819954427086,4431.834363763983,4431.834363763983
145,1977.8105314127604,1977.8105314127604,4893.470048037442,4893.470048037442
146,1932.5781559244792,1932.5781559244792,4764.627019925551,4764.627019925551
147,1914.5220922851563,1914.5220922851563,5299.012039531361,5299.012039531361
148,1945.4536287434896,1945.4536287434896,5135.02925526012,5135.02925526012
149,1880.4350931803385,1880.4350931803385,5257.504994825883,5257.504994825883
150,1943.1846752929687,1943.1846752929687,5254.170692660592,5254.170692660592
151,1968.1953173828124,1968.1953173828124,5263.54608743841,5263.54608743841
152,2104.3553678385415,2104.3553678385415,5210.350215565075,5210.350215565075
153,1929.6505647786457,1929.6505647786457,5308.951728994196,5308.951728994196
154,2024.8994608561197,2024.8994608561197,4209.647219298238,4209.647219298238
155,2066.7201424153645,2066.7201424153645,4856.574811068448,4856.574811068448
156,1918.7965087890625,1918.7965087890625,4749.239092046564,4749.239092046564
157,1994.3310164388022,1994.3310164388022,4769.712675614791,4769.712675614791
158,1944.7007478841147,1944.7007478841147,4658.170050187545,4658.170050187545
159,1978.2965690104168,1978.2965690104168,4872.61522362449,4872.61522362449
160,1909.9317749023437,1909.9317749023437,4767.212063876065,4767.212063876065
161,1868.7545711263022,1868.7545711263022,4898.1958118785515,4898.1958118785515
162,1945.92708984375,1945.92708984375,4774.620094299316,4774.620094299316
163,1903.5814713541668,1903.5814713541668,4988.493559750644,4988.493559750644
164,1857.3937434895834,1857.3937434895834,4903.210347262296,4903.210347262296
165,1890.425526529948,1890.425526529948,4947.145222056995,4947.145222056995
166,1932.5063045247396,1932.5063045247396,4724.986537413163,4724.986537413163
167,1939.2803556315105,1939.2803556315105,4820.436164855957,4820.436164855957
168,1888.861766764323,1888.861766764323,4555.238734158603,4555.238734158603
169,1934.2118758138022,1934.2118758138022,4169.133798170496,4169.133798170496
170,1937.8762231445312,1937.8762231445312,4975.167814081366,4975.167814081366
171,1809.3050846354167,1809.3050846354167,4662.880608298562,4662.880608298562
172,1813.1899894205728,1813.1899894205728,4127.911204034632,4127.911204034632
173,1949.6444380696614,1949.6444380696614,4468.423910661178,4468.423910661178
174,1960.8781477864584,1960.8781477864584,4392.3229997808285,4392.3229997808285
175,1969.91087890625,1969.91087890625,4204.357488805597,4204.357488805597
176,1941.564502766927,1941.564502766927,4539.3410616788,4539.3410616788
177,1974.0811580403645,1974.0811580403645,4083.3272847262297,4083.3272847262297
178,1984.930157063802,1984.930157063802,4904.321488120339,4904.321488120339
179,1895.6949210611979,1895.6949210611979,4584.97231500799,4584.97231500799
180,2033.6380192057293,2033.6380192057293,3270.347739185799,3270.347739185799
181,2027.0695589192708,2027.0695589192708,4759.8096899552775,4759.8096899552775
182,1735.7829239908854,1735.7829239908854,4307.175112637607,4307.175112637607
183,1810.0228645833333,1810.0228645833333,4135.189589673822,4135.189589673822
184,1980.6700528971355,1980.6700528971355,4114.168057615107,4114.168057615107
185,1908.5886303710938,1908.5886303710938,4010.136431954124,4010.136431954124
186,1797.8892342122397,1797.8892342122397,3742.3166907050395,3742.3166907050395
187,1929.889813639323,1929.889813639323,3502.6014240058985,3502.6014240058985
188,1769.8876676432292,1769.8876676432292,3680.898231051185,3680.898231051185
189,1947.5806372070313,1947.5806372070313,3787.088391455737,3787.088391455737
190,1843.9574584960938,1843.9574584960938,4163.973887339234,4163.973887339234
191,1803.2140600585938,1803.2140600585938,3612.3332790027966,3612.3332790027966
192,1888.3548828125,1888.3548828125,3481.154854514382,3481.154854514382
193,1958.354989013672,1958.354989013672,4270.650229172273,4270.650229172273
194,1867.5780151367187,1867.5780151367187,4355.458806731484,4355.458806731484
195,1822.0144401041666,1822.0144401041666,3044.599840771068,3044.599840771068
196,1798.4828434244791,1798.4828434244791,4156.87105551633,4156.87105551633
197,1836.8045357259114,1836.8045357259114,5105.694827513261,5105.694827513261
198,1865.4561962890625,1865.4561962890625,4071.5190742666073,4071.5190742666073
199,1950.9457576497396,1950.9457576497396,3346.980819095265,3346.980819095265
200,1933.4923014322917,1933.4923014322917,4298.401522549716,4298.401522549716
201,1676.6568290201824,1676.6568290201824,3894.695651661266,3894.695651661266
202,1924.559685872396,1924.559685872396,3062.7407079393215,3062.7407079393215
203,1781.9250659179688,1781.9250659179688,3583.310104716908,3583.310104716908
204,1987.3591463216146,1987.3591463216146,3610.587472482161,3610.587472482161
205,1909.1402978515625,1909.1402978515625,4096.624001064084,4096.624001064084
206,1865.4034155273437,1865.4034155273437,3849.574173667214,3849.574173667214
207,1800.0271134440104,1800.0271134440104,3226.4080760262227,3226.4080760262227
208,1775.8655314127604,1775.8655314127604,3810.1514174721456,3810.1514174721456
209,1912.5972200520832,1912.5972200520832,4273.902636192061,4273.902636192061
210,1759.2641674804688,1759.2641674804688,3885.991957924583,3885.991957924583
211,1954.7664436848959,1954.7664436848959,3801.19871859117,3801.19871859117
212,1966.2407690429689,1966.2407690429689,3745.8731481378727,3745.8731481378727
213,1824.06154296875,1824.06154296875,4044.826380469582,4044.826380469582
214,1757.8307067871094,1757.8307067871094,3316.354533282193,3316.354533282193
215,1953.8540763346355,1953.8540763346355,3955.224246631969,3955.224246631969
216,1812.2603653971355,1812.2603653971355,4042.7633049704814,4042.7633049704814
217,1952.4250756835938,1952.4250756835938,3694.325917854905,3694.325917854905
218,1956.731903483073,1956.731903483073,3774.014915553006,3774.014915553006
219,1819.6676318359375,1819.6676318359375,3535.5072610838847,3535.5072610838847
220,1698.026730143229,1698.026730143229,4522.049772943963,4522.049772943963
221,1855.4765299479166,1855.4765299479166,3891.348762685602,3891.348762685602
222,1867.587646484375,1867.587646484375,3855.6222322637386,3855.6222322637386
223,1866.2713403320313,1866.2713403320313,2977.8506823453035,2977.8506823453035
224,1873.141766764323,1873.141766764323,3556.2608673355794,3556.2608673355794
225,1930.994570719401,1930.994570719401,3154.795154658231,3154.795154658231
226,1803.1073120117187,1803.1073120117187,3786.259937286377,3786.259937286377
227,1779.4319759114583,1779.4319759114583,4264.951562057842,4264.951562057842
